x y z
-0.0921025623 1.43736357 4.54463716
NaN NaN NaN
0.0 1.28323094 5.45086192
-0.0110668636 1.35909232 5.25775315
NaN NaN NaN
0.0 1.28323094 5.45086192
0.0110668636 1.35909232 5.25775315
NaN NaN NaN
0.0 1.28323094 5.45086192
0.0 1.01768326 5.33976545
NaN NaN NaN
0.0 1.28323094 5.45086192
-0.00606976188 1.05516603 5.23212698
NaN NaN NaN
0.0 1.28323094 5.45086192
0.00606976188 1.05516603 5.23212698
NaN NaN NaN
0.0800968 1.80376728 4.73824907
0.0110668636 1.35909232 5.25775315
NaN NaN NaN
0.0800968 1.80376728 4.73824907
0.0576372932 2.05890046 4.53376878
NaN NaN NaN
0.0800968 1.80376728 4.73824907
0.0591423787 1.33098436 4.8173412
NaN NaN NaN
0.0800968 1.80376728 4.73824907
0.0930968665 1.40701842 4.52860243
NaN NaN NaN
0.0800968 1.80376728 4.73824907
0.0586869764 1.78933841 4.20900782
NaN NaN NaN
-0.0110668636 1.35909232 5.25775315
-0.00606976188 1.05516603 5.23212698
NaN NaN NaN
-0.0110668636 1.35909232 5.25775315
-0.0921025623 1.43736357 4.54463716
NaN NaN NaN
-0.0110668636 1.35909232 5.25775315
-0.0390151468 1.03107271 4.92919542
NaN NaN NaN
0.0110668636 1.35909232 5.25775315
0.0591423787 1.33098436 4.8173412
NaN NaN NaN
0.0110668636 1.35909232 5.25775315
0.00606976188 1.05516603 5.23212698
NaN NaN NaN
0.0110668636 1.35909232 5.25775315
0.039210691 1.03157565 4.92754771
NaN NaN NaN
0.0576372932 2.05890046 4.53376878
0.0320192381 2.28019616 4.1767948
NaN NaN NaN
0.0576372932 2.05890046 4.53376878
0.0586869764 1.78933841 4.20900782
NaN NaN NaN
0.0 2.57115305 4.27207579
0.0320192381 2.28019616 4.1767948
NaN NaN NaN
0.0 2.57115305 4.27207579
-0.0320192381 2.28019616 4.1767948
NaN NaN NaN
0.0 2.57115305 4.27207579
0.0 2.32833358 3.92519083
NaN NaN NaN
0.0320192381 2.28019616 4.1767948
0.0586869764 1.78933841 4.20900782
NaN NaN NaN
0.0320192381 2.28019616 4.1767948
0.0 2.32833358 3.92519083
NaN NaN NaN
0.0320192381 2.28019616 4.1767948
0.0298711887 2.04085824 3.80009478
NaN NaN NaN
-0.0320192381 2.28019616 4.1767948
-0.0601900047 1.81470565 4.27812474
NaN NaN NaN
-0.0320192381 2.28019616 4.1767948
0.0 2.32833358 3.92519083
NaN NaN NaN
-0.0320192381 2.28019616 4.1767948
-0.0298711887 2.04085824 3.80009478
NaN NaN NaN
0.0591423787 1.33098436 4.8173412
0.0930968665 1.40701842 4.52860243
NaN NaN NaN
0.0591423787 1.33098436 4.8173412
0.039210691 1.03157565 4.92754771
NaN NaN NaN
0.0591423787 1.33098436 4.8173412
0.0722406726 1.05346815 4.63455362
NaN NaN NaN
0.0 1.01768326 5.33976545
-0.00606976188 1.05516603 5.23212698
NaN NaN NaN
0.0 1.01768326 5.33976545
0.00606976188 1.05516603 5.23212698
NaN NaN NaN
0.0 1.01768326 5.33976545
0.0 0.824136314 5.25879172
NaN NaN NaN
0.0 1.01768326 5.33976545
0.00249449293 0.837716339 5.21379227
NaN NaN NaN
0.0 1.01768326 5.33976545
-0.00249449293 0.837716339 5.21379227
NaN NaN NaN
-0.00606976188 1.05516603 5.23212698
-0.0390151468 1.03107271 4.92919542
NaN NaN NaN
-0.00606976188 1.05516603 5.23212698
-0.00249449293 0.837716339 5.21379227
NaN NaN NaN
-0.00606976188 1.05516603 5.23212698
-0.0218619338 0.847814387 5.0413551
NaN NaN NaN
0.00606976188 1.05516603 5.23212698
0.039210691 1.03157565 4.92754771
NaN NaN NaN
0.00606976188 1.05516603 5.23212698
0.00249449293 0.837716339 5.21379227
NaN NaN NaN
0.00606976188 1.05516603 5.23212698
0.0219471069 0.847889325 5.04060387
NaN NaN NaN
-0.0601900047 1.81470565 4.27812474
-0.0921025623 1.43736357 4.54463716
NaN NaN NaN
-0.0601900047 1.81470565 4.27812474
-0.0298711887 2.04085824 3.80009478
NaN NaN NaN
-0.0601900047 1.81470565 4.27812474
-0.0736290855 1.44233247 4.11966252
NaN NaN NaN
-0.0921025623 1.43736357 4.54463716
-0.0390151468 1.03107271 4.92919542
NaN NaN NaN
-0.0921025623 1.43736357 4.54463716
-0.074141372 1.05153634 4.61695069
NaN NaN NaN
-0.0921025623 1.43736357 4.54463716
-0.0736290855 1.44233247 4.11966252
NaN NaN NaN
-0.0921025623 1.43736357 4.54463716
-0.102976295 1.10550825 4.36928101
NaN NaN NaN
0.0930968665 1.40701842 4.52860243
0.0586869764 1.78933841 4.20900782
NaN NaN NaN
0.0930968665 1.40701842 4.52860243
0.0722406726 1.05346815 4.63455362
NaN NaN NaN
0.0930968665 1.40701842 4.52860243
0.103535835 1.08843168 4.36025755
NaN NaN NaN
0.0930968665 1.40701842 4.52860243
0.0840622527 1.13809046 3.97582281
NaN NaN NaN
0.0586869764 1.78933841 4.20900782
0.0298711887 2.04085824 3.80009478
NaN NaN NaN
0.0586869764 1.78933841 4.20900782
0.0539570268 1.59758525 3.84830369
NaN NaN NaN
0.0586869764 1.78933841 4.20900782
0.0840622527 1.13809046 3.97582281
NaN NaN NaN
-0.0390151468 1.03107271 4.92919542
-0.0218619338 0.847814387 5.0413551
NaN NaN NaN
-0.0390151468 1.03107271 4.92919542
-0.074141372 1.05153634 4.61695069
NaN NaN NaN
-0.0390151468 1.03107271 4.92919542
-0.0397041624 0.805436605 4.87047147
NaN NaN NaN
-0.0390151468 1.03107271 4.92919542
-0.056425214 0.847031506 4.72924674
NaN NaN NaN
0.039210691 1.03157565 4.92754771
0.0219471069 0.847889325 5.04060387
NaN NaN NaN
0.039210691 1.03157565 4.92754771
0.0722406726 1.05346815 4.63455362
NaN NaN NaN
0.039210691 1.03157565 4.92754771
0.0398183906 0.805449814 4.86944366
NaN NaN NaN
0.039210691 1.03157565 4.92754771
0.0584228717 0.825432861 4.70619229
NaN NaN NaN
0.0 2.32833358 3.92519083
0.0298711887 2.04085824 3.80009478
NaN NaN NaN
0.0 2.32833358 3.92519083
-0.0298711887 2.04085824 3.80009478
NaN NaN NaN
