x,y,phi_deg,sigma_dBsm,rho
-11.72767441862712,-0.18515897937931805,180.90452261306532,4.876353749220101,11.729135991920536
-18.35925934667873,-0.8701579462149338,182.71356783919597,11.527086598234513,18.379868840934947
-21.226441550890925,-1.6789868235412593,184.52261306532662,14.439958719115962,21.2927409618164
-22.33780042261741,-2.47860988510212,186.33165829145727,15.62211118715174,22.474893429852173
-22.70069061058541,-3.2472418331832134,188.14070351758792,16.07898466961349,22.931766912313925
-23.128656560312375,-4.057293737844678,189.9497487437186,16.629048749793192,23.481830992493627
-23.957338305967006,-4.986969802989834,191.75879396984925,17.618096910335453,24.470879153035888
-24.80489671061288,-5.986199885217139,193.5678391959799,18.664221693693577,25.517003936394012
-25.209869288278924,-6.9330137170201915,195.37688442211055,19.293043212474984,26.14582545517542
-25.005041687856615,-7.733624919776101,197.1859296482412,19.32088895969739,26.173671202397824
-24.282239322107312,-8.358663412248463,198.99497487437185,18.827840813124276,25.68062305582471
-23.35016520150923,-8.871770486645033,200.80402010050253,18.125979265938827,24.978761508639263
-22.59191184809194,-9.410150175178291,202.61306532663318,17.62057893371677,24.473361176417207
-22.06610355986526,-10.019897869070704,204.42211055276383,17.381723727533537,24.234505970233972
-21.397313579691364,-10.543239845521454,206.23115577889448,17.001042081039262,23.853824323739698
-20.14108459464512,-10.727338467062532,208.04020100502512,15.966925889428914,22.81970813212935
-17.930151998972836,-10.28917079820523,209.8492462311558,13.819841838942148,20.67262408164258
-14.289971650480036,-8.811302473531471,211.65829145728642,9.935378497880555,16.78816074058099
-8.609610227052768,-5.691520930886805,213.46733668341707,3.4680122406954164,10.32079448339585
-8.065698222353301,-5.705842555341273,215.27638190954772,3.0271027303352644,9.8798849730357
-11.583580103447925,-8.755962316569764,217.08542713567837,7.667761965495909,14.520544208196345
-13.224296039674792,-10.668555399482882,218.89447236180902,10.138394292689743,16.991176535390178
-14.243927428383548,-12.253231949372832,220.7035175879397,11.936341254423857,18.789123497124294
