theta_deg,sigma_dBsm,sigma_dBsm_anal,relative_error
75.5,6.08515183977355,6.085776221121955,0.000143758784233459
76.0,6.141907362770642,6.1431721186823465,0.00029117841019237297
76.5,6.1870099016922095,6.188933824415702,0.00044290146849354
77.0,6.2199762667051655,6.222574177223707,0.0005980121227242681
77.5,6.2403651683373695,6.243648219272806,0.0007556647558187567
78.0,6.247772609010641,6.251748503892682,0.0009150647013829918
78.5,6.241828487220089,6.246501610571448,0.0010754477078185171
79.0,6.222194533789921,6.22756598559813,0.0012360579364372357
79.5,6.188563730387586,6.19463125688839,0.0013961241178916573
80.0,6.14066140669901,6.147419217051022,0.0015548333300374158
80.5,6.078248275066105,6.085686730519454,0.0017113017147053933
81.0,6.00112574121356,6.009230899822027,0.0018645413179299783
81.5,5.909143928387508,5.91789692430789,0.0020134221333559517
82.0,5.802212970907443,5.8115892030758225,0.002156628370029572
82.5,5.680318271516179,5.690286372384734,0.0022926079972173862
83.0,5.543540571633074,5.554061123410551,0.0024195148134169217
83.5,5.392081845397307,5.403105810070662,0.002535142756433092
84.0,5.2262981774444235,5.237765009784999,0.0026368531005372124
84.5,5.0467408835137375,5.058576306434713,0.002721496833497259
85.0,4.854207117474683,4.866320561288491,0.0027853372452058306
85.5,4.649800972356377,4.662082720493888,0.0028239820575003283
86.0,4.435005463683524,4.447323616383679,0.0028323408108751817
86.5,4.211764547689006,4.223962022867956,0.0028046321020952876
87.0,3.982572171738986,3.99446411907419,0.0027344765554892726
87.5,3.7505619449452947,3.7619341596465294,0.002615123795090853
88.0,3.5195861023696096,3.530195277557719,0.0024398715268033216
88.5,3.294266092510056,3.3038429996645187,0.002202734776355724
89.0,3.0799901534564054,3.088246993733206,0.0018994015830400522
89.5,2.8828277098126156,2.889470777473094,0.0015284535798952548
90.0,2.7093299558562327,2.714078199586279,0.0010927260626665844
90.5,2.5661953917544804,2.568804293792426,0.0006005414968931541
91.0,2.459802384040753,2.460090844139789,6.641818661100872e-5
91.5,2.395647652497605,2.3935236774373596,0.0004891829421304995
92.0,2.377771335203031,2.373251102140004,0.0010413639700995844
92.5,2.4082788274543456,2.401494011662198,0.0015634825365180437
93.0,2.487068089829405,2.4782586250247856,0.002030512938687202
93.5,2.6118304004272015,2.601323480925515,0.0024222365079542957
94.0,2.7783242261922165,2.7665039089180303,0.0027254359010091675
94.5,2.9808537222392575,2.9681274475326003,0.002934630665557302
95.0,3.212842968841077,3.1996110662105726,0.0030514042598838564
95.5,3.4673958844748713,3.454028166794254,0.0030827727466036297
96.00000000000001,3.73776148947365,3.7245824933721727,0.003039184983055333
